{ , 0 , 1 , 2 , 3 , 01 , 02 , 03 , 12 , 13 , 23 , 012 , 013 , 023 , 123 , 0123 }
{0, 1, 2, 3} -> {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
{0, 1, 3, 2} -> {0, 1, 2, 4, 3, 5, 7, 6, 9, 8, 10, 12, 11, 13, 14, 15}
{0, 2, 1, 3} -> {0, 1, 3, 2, 4, 6, 5, 7, 8, 10, 9, 11, 13, 12, 14, 15}
{0, 2, 3, 1} -> {0, 1, 3, 4, 2, 6, 7, 5, 10, 8, 9, 13, 11, 12, 14, 15}
{0, 3, 1, 2} -> {0, 1, 4, 2, 3, 7, 5, 6, 9, 10, 8, 12, 13, 11, 14, 15}
{0, 3, 2, 1} -> {0, 1, 4, 3, 2, 7, 6, 5, 10, 9, 8, 13, 12, 11, 14, 15}
{1, 0, 2, 3} -> {0, 2, 1, 3, 4, 5, 8, 9, 6, 7, 10, 11, 12, 14, 13, 15}
{1, 0, 3, 2} -> {0, 2, 1, 4, 3, 5, 9, 8, 7, 6, 10, 12, 11, 14, 13, 15}
{1, 2, 0, 3} -> {0, 2, 3, 1, 4, 8, 5, 9, 6, 10, 7, 11, 14, 12, 13, 15}
{1, 2, 3, 0} -> {0, 2, 3, 4, 1, 8, 9, 5, 10, 6, 7, 14, 11, 12, 13, 15}
{1, 3, 0, 2} -> {0, 2, 4, 1, 3, 9, 5, 8, 7, 10, 6, 12, 14, 11, 13, 15}
{1, 3, 2, 0} -> {0, 2, 4, 3, 1, 9, 8, 5, 10, 7, 6, 14, 12, 11, 13, 15}
{2, 0, 1, 3} -> {0, 3, 1, 2, 4, 6, 8, 10, 5, 7, 9, 11, 13, 14, 12, 15}
{2, 0, 3, 1} -> {0, 3, 1, 4, 2, 6, 10, 8, 7, 5, 9, 13, 11, 14, 12, 15}
{2, 1, 0, 3} -> {0, 3, 2, 1, 4, 8, 6, 10, 5, 9, 7, 11, 14, 13, 12, 15}
{2, 1, 3, 0} -> {0, 3, 2, 4, 1, 8, 10, 6, 9, 5, 7, 14, 11, 13, 12, 15}
{2, 3, 0, 1} -> {0, 3, 4, 1, 2, 10, 6, 8, 7, 9, 5, 13, 14, 11, 12, 15}
{2, 3, 1, 0} -> {0, 3, 4, 2, 1, 10, 8, 6, 9, 7, 5, 14, 13, 11, 12, 15}
{3, 0, 1, 2} -> {0, 4, 1, 2, 3, 7, 9, 10, 5, 6, 8, 12, 13, 14, 11, 15}
{3, 0, 2, 1} -> {0, 4, 1, 3, 2, 7, 10, 9, 6, 5, 8, 13, 12, 14, 11, 15}
{3, 1, 0, 2} -> {0, 4, 2, 1, 3, 9, 7, 10, 5, 8, 6, 12, 14, 13, 11, 15}
{3, 1, 2, 0} -> {0, 4, 2, 3, 1, 9, 10, 7, 8, 5, 6, 14, 12, 13, 11, 15}
{3, 2, 0, 1} -> {0, 4, 3, 1, 2, 10, 7, 9, 6, 8, 5, 13, 14, 12, 11, 15}
{3, 2, 1, 0} -> {0, 4, 3, 2, 1, 10, 9, 7, 8, 6, 5, 14, 13, 12, 11, 15}

